
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.374 | 5  |    0.962   -0.056    0.270 |   -10.3   -72.9   -21.8
   1.412 | 0  |    0.883   -0.036   -0.526 |  -175.7   -58.7   -28.4
   1.412 | 1  |         Comm Error         |            -           
   1.412 | 2  |    0.132    0.233    0.976 |    13.1    -7.9  -102.6
   1.412 | 3  |         Comm Error         |            -           
   1.412 | 4  |         Comm Error         |            -           
   1.412 | 5  |    0.965   -0.053    0.277 |   -10.4   -73.0   -21.8
   1.450 | 0  |    0.881   -0.035   -0.522 |  -175.9   -58.7   -28.3
   1.450 | 1  |         Comm Error         |            -           
   1.450 | 2  |    0.135    0.225    0.974 |    13.1    -7.9  -102.6
   1.450 | 3  |         Comm Error         |            -           
   1.450 | 4  |         Comm Error         |            -           
   1.450 | 5  |    0.966   -0.050    0.277 |   -10.3   -72.9   -21.9
   1.489 | 0  |    0.876   -0.036   -0.527 |  -176.0   -58.6   -28.2
   1.489 | 1  |         Comm Error         |            -           
   1.489 | 2  |    0.135    0.222    0.969 |    13.1    -7.9  -102.6
   1.489 | 3  |         Comm Error         |            -           
   1.489 | 4  |         Comm Error         |            -           
   1.489 | 5  |    0.964   -0.047    0.275 |   -10.2   -73.0   -21.9
   1.527 | 0  |    0.863   -0.040   -0.528 |  -176.1   -58.5   -28.2
   1.527 | 1  |         Comm Error         |            -           
   1.527 | 2  |    0.139    0.223    0.966 |    13.1    -7.9  -102.5
   1.527 | 3  |         Comm Error         |            -           
   1.527 | 4  |         Comm Error         |            -           
   1.527 | 5  |    0.965   -0.051    0.276 |   -10.2   -73.0   -22.0
   1.565 | 0  |    0.869   -0.043   -0.528 |  -176.1   -58.4   -28.3
   1.565 | 1  |         Comm Error         |            -           
   1.565 | 2  |    0.143    0.223    0.969 |    13.0    -7.9  -102.5
   1.565 | 3  |         Comm Error         |            -           
   1.565 | 4  |         Comm Error         |            -           
   1.565 | 5  |    0.968   -0.048    0.274 |   -10.1   -73.0   -22.0
   1.603 | 0  |    0.871   -0.041   -0.536 |  -176.2   -58.2   -28.2
   1.603 | 1  |         Comm Error         |            -           
   1.603 | 2  |    0.144    0.226    0.967 |    13.0    -8.0  -102.4
   1.603 | 3  |         Comm Error         |            -           
   1.603 | 4  |         Comm Error         |            -           
   1.603 | 5  |    0.962   -0.049    0.277 |   -10.0   -73.0   -22.1
   1.641 | 0  |    0.871   -0.036   -0.542 |  -176.2   -58.1   -28.2
   1.641 | 1  |         Comm Error         |            -           
   1.641 | 2  |    0.143    0.232    0.979 |    13.0    -8.0  -102.4
   1.641 | 3  |         Comm Error         |            -           
   1.641 | 4  |         Comm Error         |            -           
   1.641 | 5  |    0.963   -0.053    0.278 |   -10.0   -72.9   -22.0
   1.680 | 0  |    0.880   -0.034   -0.544 |  -176.2   -58.1   -28.2
   1.680 | 1  |         Comm Error         |            -           
   1.680 | 2  |    0.137    0.233    0.980 |    13.0    -8.0  -102.4
   1.680 | 3  |         Comm Error         |            -           
   1.680 | 4  |         Comm Error         |            -           
   1.680 | 5  |    0.964   -0.049    0.283 |   -10.0   -72.9   -22.0
   1.718 | 0  |    0.876   -0.036   -0.545 |  -176.2   -58.0   -28.2
   1.718 | 1  |         Comm Error         |            -           
   1.718 | 2  |    0.138    0.229    0.980 |    13.1    -7.9  -102.4
   1.718 | 3  |         Comm Error         |            -           
   1.718 | 4  |         Comm Error         |            -           
   1.718 | 5  |    0.968   -0.049    0.276 |    -9.9   -72.9   -22.1
   1.757 | 0  |    0.875   -0.038   -0.541 |  -176.2   -58.0   -28.2
   1.757 | 1  |         Comm Error         |            -           
   1.757 | 2  |    0.137    0.234    0.985 |    13.1    -7.9  -102.4
   1.757 | 3  |         Comm Error         |            -           
   1.757 | 4  |         Comm Error         |            -           
   1.757 | 5  |    0.964   -0.052    0.273 |   -10.0   -73.0   -22.0
   1.795 | 0  |    0.872   -0.039   -0.535 |  -176.2   -58.0   -28.3
   1.795 | 1  |         Comm Error         |            -           
   1.795 | 2  |    0.135    0.228    0.973 |    13.2    -7.8  -102.4
   1.795 | 3  |         Comm Error         |            -           
   1.795 | 4  |         Comm Error         |            -           
   1.795 | 5  |    0.964   -0.053    0.273 |   -10.1   -73.0   -21.9
   1.833 | 0  |    0.863   -0.040   -0.531 |  -176.1   -58.0   -28.3
