
Stream stopped by user.
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.156 | 0  |    0.714   -0.069   -0.736 |  -174.9   -44.1  -159.5
   1.156 | 1  |         Comm Error         |            -           
   1.156 | 2  |    0.208   -0.966   -0.110 |   -96.1   -11.5   -55.9
   1.156 | 3  |         Comm Error         |            -           
   1.156 | 4  |         Comm Error         |            -           
   1.156 | 5  |    0.978   -0.087    0.204 |   -21.6   -76.1    54.0
   1.194 | 0  |    0.719   -0.070   -0.730 |  -174.9   -44.1  -159.5
   1.194 | 1  |         Comm Error         |            -           
   1.194 | 2  |    0.200   -0.969   -0.107 |   -96.1   -11.6   -56.0
   1.194 | 3  |         Comm Error         |            -           
   1.194 | 4  |         Comm Error         |            -           
   1.194 | 5  |    0.980   -0.085    0.216 |   -21.7   -76.1    54.1
   1.231 | 0  |    0.713   -0.069   -0.730 |  -174.8   -44.1  -159.6
   1.231 | 1  |         Comm Error         |            -           
   1.231 | 2  |    0.191   -0.967   -0.107 |   -96.1   -11.5   -56.1
   1.231 | 3  |         Comm Error         |            -           
   1.231 | 4  |         Comm Error         |            -           
   1.231 | 5  |    0.978   -0.084    0.200 |   -21.6   -76.1    54.0
   1.269 | 0  |    0.723   -0.075   -0.745 |  -174.8   -44.1  -159.7
   1.269 | 1  |         Comm Error         |            -           
   1.269 | 2  |    0.188   -0.970   -0.113 |   -96.1   -11.4   -56.1
   1.269 | 3  |         Comm Error         |            -           
   1.269 | 4  |         Comm Error         |            -           
   1.269 | 5  |    0.977   -0.085    0.211 |   -21.7   -76.1    54.0
   1.309 | 0  |    0.752   -0.074   -0.753 |  -174.8   -44.1  -159.6
   1.309 | 1  |         Comm Error         |            -           
   1.309 | 2  |    0.196   -0.965   -0.112 |   -96.2   -11.4   -56.1
   1.309 | 3  |         Comm Error         |            -           
   1.309 | 4  |         Comm Error         |            -           
   1.309 | 5  |    0.977   -0.085    0.209 |   -21.7   -76.1    54.0
   1.346 | 0  |    0.748   -0.073   -0.761 |  -175.0   -44.0  -159.4
   1.346 | 1  |         Comm Error         |            -           
