
IMU Data Stream (50Hz)

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
    0.822 | 4  |    1.007   -0.016    0.006 |    -54.3    -85.2   -157.9
    0.822 | 5  |    1.017   -0.080   -0.155 |   -150.1    -79.3    -21.5
    0.856 | 1  |    0.311   -0.940    0.118 |    -82.7    -17.9    130.7
    0.856 | 2  |    0.276    0.968    0.091 |     83.9    -16.0      3.0
    0.856 | 3  |    0.990   -0.030    0.248 |     -7.0    -74.6   -166.0
    0.856 | 4  |    1.010   -0.016    0.007 |    -54.0    -85.2   -158.7
    0.856 | 5  |    1.017   -0.086   -0.152 |   -150.1    -79.3    -21.5
    0.890 | 1  |    0.310   -0.947    0.122 |    -82.7    -17.9    130.6
    0.890 | 2  |    0.276    0.967    0.088 |     84.0    -16.0      2.9
    0.890 | 3  |    0.995   -0.028    0.253 |     -6.9    -74.7   -166.1
    0.890 | 4  |    1.011   -0.012    0.004 |    -53.8    -85.2   -158.7
    0.890 | 5  |    1.019   -0.084   -0.153 |   -150.1    -79.3    -21.5
    0.924 | 1  |    0.308   -0.948    0.120 |    -82.7    -17.9    130.5
    0.924 | 2  |    0.270    0.970    0.092 |     84.0    -15.9      2.9
    0.924 | 3  |    0.992   -0.032    0.250 |     -7.0    -74.7   -166.1
    0.924 | 4  |    1.008   -0.008    0.005 |    -53.2    -85.2   -159.5
    0.924 | 5  |    1.015   -0.089   -0.147 |   -149.9    -79.3    -21.7
    0.958 | 1  |    0.301   -0.939    0.117 |    -82.6    -17.8    130.4
    0.958 | 2  |    0.267    0.966    0.097 |     84.0    -15.8      2.9
    0.958 | 3  |    0.987   -0.031    0.251 |     -7.0    -74.8   -166.1
    0.958 | 4  |    1.006   -0.016    0.008 |    -53.3    -85.2   -159.5
    0.958 | 5  |    1.016   -0.085   -0.145 |   -149.6    -79.4    -22.0
    0.993 | 1  |    0.302   -0.935    0.117 |    -82.6    -17.8    130.4
    0.993 | 2  |    0.271    0.965    0.095 |     84.0    -15.7      2.9
    0.993 | 3  |    0.994   -0.031    0.253 |     -7.0    -74.8   -166.1
    0.993 | 4  |    1.009   -0.014    0.010 |    -51.6    -85.2   -162.1
    0.993 | 5  |    1.018   -0.084   -0.153 |   -149.7    -79.4    -21.9
    1.027 | 1  |    0.304   -0.941    0.117 |    -82.6    -17.7    130.3
    1.027 | 2  |    0.278    0.973    0.095 |     84.0    -15.7      2.9
    1.027 | 3  |    0.995   -0.032    0.252 |     -7.0    -74.8   -166.1
    1.027 | 4  |    1.008   -0.014    0.011 |    -49.5    -85.2   -165.4
    1.027 | 5  |    1.017   -0.086   -0.150 |   -149.6    -79.4    -22.1
    1.062 | 1  |    0.307   -0.942    0.114 |    -82.7    -17.7    130.3
    1.062 | 2  |    0.277    0.971    0.092 |     84.0    -15.7      2.9
    1.062 | 3  |    0.994   -0.034    0.254 |     -7.1    -74.8   -166.0
    1.062 | 4  |    1.012   -0.010    0.008 |    -47.9    -85.2   -167.3
    1.062 | 5  |    1.018   -0.083   -0.148 |   -149.5    -79.4    -22.2
    1.096 | 1  |    0.308   -0.942    0.114 |    -82.7    -17.7    130.2
    1.096 | 2  |    0.278    0.968    0.091 |     84.1    -15.8      2.9
    1.096 | 3  |    0.991   -0.034    0.250 |     -7.2    -74.8   -165.9
    1.096 | 4  |    1.010   -0.015    0.006 |    -48.4    -85.2   -166.6
    1.096 | 5  |    1.017   -0.087   -0.160 |   -149.6    -79.4    -22.1
    1.130 | 1  |    0.310   -0.937    0.113 |    -82.7    -17.7    130.2
    1.130 | 2  |    0.278    0.967    0.090 |     84.1    -15.8      2.9
    1.130 | 3  |    0.992   -0.030    0.252 |     -7.2    -74.9   -165.9
    1.130 | 4  |    1.008   -0.013    0.009 |    -48.1    -85.2   -167.0
    1.130 | 5  |    1.017   -0.083   -0.148 |   -149.7    -79.4    -22.0
    1.165 | 1  |    0.313   -0.939    0.113 |    -82.7    -17.7    130.1
    1.165 | 2  |    0.276    0.970    0.100 |     84.1    -15.8      3.0
    1.165 | 3  |    0.993   -0.031    0.250 |     -7.2    -74.9   -165.9
    1.165 | 4  |    1.009   -0.012    0.008 |    -47.0    -85.2   -168.4
    1.165 | 5  |    1.018   -0.086   -0.146 |   -149.5    -79.4    -22.2
    1.200 | 1  |    0.318   -0.942    0.112 |    -82.7    -17.7    130.0
    1.200 | 2  |    0.272    0.967    0.099 |     84.0    -15.7      3.0
    1.200 | 3  |    0.991   -0.034    0.250 |     -7.3    -74.8   -165.8
    1.200 | 4  |    1.010   -0.009    0.009 |    -45.6    -85.2   -169.8
    1.200 | 5  |    1.018   -0.084   -0.148 |   -149.4    -79.4    -22.2
    1.233 | 1  |    0.320   -0.939    0.107 |    -82.8    -17.9    129.7
    1.233 | 2  |    0.277    0.968    0.096 |     84.0    -15.7      3.0
    1.233 | 3  |    0.993   -0.032    0.250 |     -7.4    -74.8   -165.7
    1.233 | 4  |    1.006   -0.018    0.013 |    -45.8    -85.2   -170.2
    1.233 | 5  |    1.017   -0.090   -0.147 |   -149.3    -79.4    -22.3
    1.268 | 1  |    0.324   -0.932    0.101 |    -82.8    -18.0    129.2
    1.268 | 2  |    0.277    0.968    0.092 |     84.1    -15.8      3.0
    1.268 | 3  |    0.992   -0.031    0.249 |     -7.4    -74.8   -165.7
    1.268 | 4  |    1.013   -0.004    0.009 |    -44.6    -85.2   -171.1
    1.268 | 5  |    1.021   -0.080   -0.145 |   -149.2    -79.5    -22.4
    1.302 | 1  |    0.326   -0.926    0.092 |    -83.0    -18.3    128.3
