nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.688 | 2  |    0.920   -0.202    0.328 |   -30.9   -66.5  -107.7
   1.688 | 3  |         Comm Error         |            -           
   1.688 | 4  |         Comm Error         |            -           
   1.688 | 5  |    0.982   -0.026    0.217 |    -7.3   -76.4    51.9
   1.729 | 0  |    0.709   -0.048   -0.726 |  -176.3   -44.1  -178.6
   1.729 | 1  |         Comm Error         |            -           
   1.729 | 2  |    0.935   -0.175    0.343 |   -27.4   -66.8  -111.2
   1.729 | 3  |         Comm Error         |            -           
   1.729 | 4  |         Comm Error         |            -           
   1.729 | 5  |    0.982   -0.029    0.216 |    -7.3   -76.4    51.9
   1.766 | 0  |    0.710   -0.053   -0.730 |  -176.3   -44.2  -178.7
   1.766 | 1  |         Comm Error         |            -           
   1.766 | 2  |    0.923   -0.159    0.349 |   -23.8   -67.0  -114.7
   1.766 | 3  |         Comm Error         |            -           
   1.766 | 4  |         Comm Error         |            -           
   1.766 | 5  |    0.980   -0.026    0.214 |    -7.3   -76.5    51.9
   1.804 | 0  |    0.717   -0.050   -0.730 |  -176.2   -44.2  -178.7
   1.804 | 1  |         Comm Error         |            -           
   1.804 | 2  |    0.916   -0.157    0.343 |   -19.5   -66.8  -118.1
   1.804 | 3  |         Comm Error         |            -           
   1.804 | 4  |         Comm Error         |            -           
   1.804 | 5  |    0.980   -0.030    0.216 |    -7.3   -76.5    51.9
   1.843 | 0  |    0.712   -0.043   -0.728 |  -176.2   -44.3  -178.7
   1.843 | 1  |         Comm Error         |            -           
   1.843 | 2  |    0.927   -0.091    0.391 |   -16.0   -66.4  -121.3
   1.843 | 3  |         Comm Error         |            -           
   1.843 | 4  |         Comm Error         |            -           
   1.843 | 5  |    0.984   -0.027    0.205 |    -7.3   -76.6    52.0
   1.881 | 0  |    0.711   -0.042   -0.728 |  -176.3   -44.2  -178.6
   1.881 | 1  |         Comm Error         |            -           
   1.881 | 2  |    0.926   -0.098    0.383 |   -13.2   -66.3  -124.2
   1.881 | 3  |         Comm Error         |            -           
   1.881 | 4  |         Comm Error         |            -           
   1.881 | 5  |    0.980   -0.022    0.225 |    -7.0   -76.5    51.7
   1.921 | 0  |    0.711   -0.047   -0.731 |  -176.3   -44.2  -178.7
   1.921 | 1  |         Comm Error         |            -           
   1.921 | 2  |    0.924   -0.083    0.387 |   -10.2   -66.2  -127.1
   1.921 | 3  |         Comm Error         |            -           
   1.921 | 4  |         Comm Error         |            -           
   1.921 | 5  |    0.981   -0.028    0.209 |    -7.0   -76.6    51.9
   1.960 | 0  |    0.713   -0.050   -0.730 |  -176.3   -44.2  -178.8
   1.960 | 1  |         Comm Error         |            -           
   1.960 | 2  |    0.921   -0.041    0.389 |    -7.0   -66.1  -130.2
   1.960 | 3  |         Comm Error         |            -           
   1.960 | 4  |         Comm Error         |            -           
   1.960 | 5  |    0.983   -0.029    0.215 |    -7.1   -76.6    51.8
   1.998 | 0  |    0.711   -0.049   -0.731 |  -176.3   -44.2  -178.8
   1.998 | 1  |         Comm Error         |            -           
   1.998 | 2  |    0.922   -0.022    0.396 |    -3.8   -66.0  -133.4
   1.998 | 3  |         Comm Error         |            -           
   1.998 | 4  |         Comm Error         |            -           
   1.998 | 5  |    0.983   -0.024    0.213 |    -7.0   -76.6    51.7
   2.037 | 0  |    0.714   -0.045   -0.732 |  -176.4   -44.1  -178.8
   2.037 | 1  |         Comm Error         |            -           
   2.037 | 2  |    0.921   -0.008    0.393 |    -0.8   -65.8  -136.3
   2.037 | 3  |         Comm Error         |            -           
   2.037 | 4  |         Comm Error         |            -           
   2.037 | 5  |    0.981   -0.028    0.212 |    -7.0   -76.6    51.7
   2.075 | 0  |    0.716   -0.046   -0.729 |  -176.4   -44.2  -178.8
   2.075 | 1  |         Comm Error         |            -           
   2.075 | 2  |    0.940   -0.007    0.398 |     1.1   -65.7  -138.9
   2.075 | 3  |         Comm Error         |            -           
   2.075 | 4  |         Comm Error         |            -           
   2.075 | 5  |    0.981   -0.030    0.217 |    -7.1   -76.6    51.8
   2.113 | 0  |    0.712   -0.047   -0.730 |  -176.4   -44.1  -178.8
   2.113 | 1  |         Comm Error         |            -           
   2.113 | 2  |    0.911    0.023    0.410 |     3.6   -65.3  -140.8
   2.113 | 3  |         Comm Error         |            -           
   2.113 | 4  |         Comm Error         |            -           
   2.113 | 5  |    0.983   -0.026    0.213 |    -7.0   -76.6    51.7
   2.152 | 0  |    0.710   -0.047   -0.728 |  -176.4   -44.1  -178.9
   2.152 | 1  |         Comm Error         |            -           
   2.152 | 2  |    0.920    0.048    0.413 |     6.5   -64.8  -143.6
   2.152 | 3  |         Comm Error         |            -           
   2.152 | 4  |         Comm Error         |            -           
   2.152 | 5  |    0.980   -0.028    0.213 |    -7.1   -76.6    51.7
   2.190 | 0  |    0.715   -0.051   -0.725 |  -176.3   -44.2  -179.0
   2.190 | 1  |         Comm Error         |            -           
   2.190 | 2  |    0.917    0.061    0.420 |     9.2   -64.4  -146.3
   2.190 | 3  |         Comm Error         |            -           
   2.190 | 4  |         Comm Error         |            -           
   2.190 | 5  |    0.981   -0.027    0.212 |    -7.1   -76.6    51.7
   2.228 | 0  |    0.716   -0.049   -0.729 |  -176.3   -44.2  -179.0
   2.228 | 1  |         Comm Error         |            -           
   2.228 | 2  |    0.898    0.084    0.427 |    11.8   -63.8  -148.8
   2.228 | 3  |         Comm Error         |            -           
   2.228 | 4  |         Comm Error         |            -           
   2.228 | 5  |    0.983   -0.028    0.213 |    -7.1   -76.6    51.8
   2.266 | 0  |    0.709   -0.049   -0.728 |  -176.3   -44.2  -179.1
   2.266 | 1  |         Comm Error         |            -           
   2.266 | 2  |    0.897    0.104    0.434 |    14.3   -63.2  -151.4
   2.266 | 3  |         Comm Error         |            -           
   2.266 | 4  |         Comm Error         |            -           
   2.266 | 5  |    0.982   -0.028    0.213 |    -7.1   -76.6    51.8
   2.304 | 0  |    0.708   -0.049   -0.728 |  -176.2   -44.1  -179.1
   2.304 | 1  |         Comm Error         |            -           
   2.304 | 2  |    0.887    0.126    0.435 |    15.6   -62.6  -153.2
   2.304 | 3  |         Comm Error         |            -           
   2.304 | 4  |         Comm Error         |            -           
   2.304 | 5  |    0.980   -0.026    0.213 |    -7.1   -76.6    51.8
   2.344 | 0  |    0.714   -0.050   -0.730 |  -176.2   -44.2  -179.1
   2.344 | 1  |         Comm Error         |            -           
   2.344 | 2  |    0.887    0.137    0.441 |    17.8   -62.2  -154.9
   2.344 | 3  |         Comm Error         |            -           
   2.344 | 4  |         Comm Error         |            -           
   2.344 | 5  |    0.980   -0.029    0.214 |    -7.1   -76.6    51.8
   2.381 | 0  |    0.711   -0.049   -0.731 |  -176.2   -44.2  -179.1
   2.381 | 1  |         Comm Error         |            -           
   2.381 | 2  |    0.885    0.159    0.439 |    19.9   -61.6  -157.0
   2.381 | 3  |         Comm Error         |            -           
   2.381 | 4  |         Comm Error         |            -           
   2.381 | 5  |    0.984   -0.028    0.210 |    -7.1   -76.6    51.8
   2.419 | 0  |    0.712   -0.049   -0.731 |  -176.2   -44.2  -179.1
   2.419 | 1  |         Comm Error         |            -           
   2.419 | 2  |    0.877    0.179    0.445 |    21.8   -60.9  -158.9
   2.419 | 3  |         Comm Error         |            -           
   2.419 | 4  |         Comm Error         |            -           
   2.419 | 5  |    0.980   -0.031    0.216 |    -7.2   -76.6    51.9
   2.459 | 0  |    0.715   -0.048   -0.730 |  -176.2   -44.2  -179.1
   2.459 | 1  |         Comm Error         |            -           
   2.459 | 2  |    0.880    0.206    0.443 |    23.8   -60.3  -161.0
   2.459 | 3  |         Comm Error         |            -           
   2.459 | 4  |         Comm Error         |            -           
   2.459 | 5  |    0.981   -0.028    0.205 |    -7.4   -76.6    52.1
   2.497 | 0  |    0.714   -0.051   -0.729 |  -176.1   -44.2  -179.2
   2.497 | 1  |         Comm Error         |            -           
   2.497 | 2  |    0.850    0.216    0.456 |    25.6   -59.5  -162.8
   2.497 | 3  |         Comm Error         |            -           
   2.497 | 4  |         Comm Error         |            -           
   2.497 | 5  |    0.985   -0.028    0.221 |    -7.3   -76.6    52.0
   2.536 | 0  |    0.708   -0.049   -0.730 |  -176.1   -44.1  -179.2
   2.536 | 1  |         Comm Error         |            -           
   2.536 | 2  |    0.851    0.224    0.455 |    26.9   -58.7  -164.2
   2.536 | 3  |         Comm Error         |            -           
   2.536 | 4  |         Comm Error         |            -           
   2.536 | 5  |    0.981   -0.027    0.208 |    -7.2   -76.6    52.0
   2.575 | 0  |    0.712   -0.052   -0.729 |  -176.1   -44.1  -179.3
   2.575 | 1  |         Comm Error         |            -           
   2.575 | 2  |    0.863    0.243    0.449 |    27.8   -58.1  -165.4
   2.575 | 3  |         Comm Error         |            -           
   2.575 | 4  |         Comm Error         |            -           
   2.575 | 5  |    0.980   -0.032    0.215 |    -7.4   -76.6    52.1
   2.613 | 0  |    0.716   -0.051   -0.730 |  -176.1   -44.2  -179.3
   2.613 | 1  |         Comm Error         |            -           
   2.613 | 2  |    0.847    0.256    0.455 |    29.1   -57.7  -166.4
   2.613 | 3  |         Comm Error         |            -           
   2.613 | 4  |         Comm Error         |            -           
